Ensembl_ID	Phase	Gene_Name	Normalized_Values
ENSMUSG00000023972	3.0	Ptk7	74,100,81,22,37,2,0,47
ENSMUSG00000053617	3.0	Sh3pxd2a	67,100,80,29,0,6,43,42
ENSMUSG00000053559	3.0	Smagp	89,73,100,28,0,0,0,32
ENSMUSG00000086397	3.1	AC155158.1	64,99,98,25,0,6,32,100
ENSMUSG00000083736	3.1	AL731844.2	57,65,100,0,8,3,23,57
ENSMUSG00000064254	3.1	Ethe1	58,72,73,31,6,6,0,100
ENSMUSG00000048497	3.1	Mmgt2	50,100,72,18,0,6,28,64
ENSMUSG00000000120	3.1	Ngfr	70,100,64,56,25,0,53,43
ENSMUSG00000038539	3.2	Atf5	88,100,95,53,27,0,42,66
ENSMUSG00000025505	3.2	Tmem80	37,71,58,40,0,2,31,100
ENSMUSG00000071037	3.3	1700106N22Rik	71,100,42,65,33,0,19,30
ENSMUSG00000023072	3.3	Ccdc123	100,92,81,74,47,0,5,34
ENSMUSG00000020919	3.3	Stat5b	38,100,52,33,0,0,33,53
ENSMUSG00000043290	3.3	Zfp784	100,64,99,67,35,0,36,66
ENSMUSG00000032066	3.4	Bco2	64,100,70,59,0,15,37,58
ENSMUSG00000005763	3.5	Cd247	49,92,81,10,37,0,6,100
ENSMUSG00000042289	3.5	Hsd3b7	88,100,94,58,14,0,15,59
ENSMUSG00000037095	3.5	Lrg1	29,100,59,6,0,9,3,24
ENSMUSG00000024039	3.6	Cbs	90,100,83,69,18,0,6,46
ENSMUSG00000059554	3.6	Ccdc28a	66,100,78,52,18,0,27,59
ENSMUSG00000006850	3.6	Tmco6	40,100,52,23,1,0,8,36
ENSMUSG00000003623	3.7	Crot	77,100,95,53,10,0,22,41
ENSMUSG00000055401	3.7	Fbxo6	70,100,79,48,17,0,4,50
ENSMUSG00000031174	3.7	Rpgr	68,86,100,51,2,0,24,91
ENSMUSG00000037921	3.8	Ddx60	62,100,68,60,11,0,0,83
ENSMUSG00000028001	3.8	Fga	55,100,65,39,16,0,9,33
ENSMUSG00000028354	3.8	Fmn2	42,100,47,48,0,1,21,19
ENSMUSG00000024436	3.8	Mrps18b	62,100,50,56,29,12,0,42
ENSMUSG00000026357	3.8	Rgs18	65,100,71,61,0,19,8,32
ENSMUSG00000024913	3.9	Lrp5	72,71,100,64,0,19,32,74
ENSMUSG00000032009	3.9	Sesn3	48,100,38,59,10,0,19,33
ENSMUSG00000075225	4.0	Ccdc162	51,100,64,50,13,0,11,66
ENSMUSG00000036634	4.0	Mag	50,100,68,34,17,1,7,0
ENSMUSG00000019769	4.0	Syne1	69,100,98,68,0,31,46,65
ENSMUSG00000024736	4.0	Tmem132a	89,100,86,63,46,0,0,39
ENSMUSG00000032121	4.0	Tmem218	63,100,73,52,21,6,0,44
ENSMUSG00000070814	4.1	6330408A02Rik	82,74,100,43,54,20,0,33
ENSMUSG00000020017	4.1	Hal	60,100,76,80,0,21,26,81
ENSMUSG00000016024	4.1	Lbp	33,100,65,20,0,4,7,30
ENSMUSG00000022750	4.2	Klhl22	38,100,42,59,8,0,23,42
ENSMUSG00000020604	4.3	Arsg	51,100,79,47,24,38,0,64
ENSMUSG00000010461	4.3	Eya4	43,100,72,48,33,0,20,88
ENSMUSG00000009647	4.4	Ccdc109a	53,100,75,51,17,0,23,29
ENSMUSG00000001123	4.4	Lgals9	68,100,81,66,24,0,13,44
ENSMUSG00000071204	4.5	AC153582.2	59,100,91,73,18,0,52,80
ENSMUSG00000032607	4.5	Amt	66,84,100,59,15,0,21,46
ENSMUSG00000016526	4.5	Dyrk3	59,100,90,42,55,16,0,86
ENSMUSG00000037712	4.5	Fermt2	36,100,59,54,8,0,35,28
ENSMUSG00000083879	4.5	RP23-418D21.1	78,76,100,57,50,5,0,14
ENSMUSG00000079362	4.6	AC123697.1	33,100,67,49,1,0,32,17
ENSMUSG00000068101	4.6	Cenpm	26,100,49,40,15,0,9,4
ENSMUSG00000001555	4.6	Fkbp10	43,92,100,31,5,0,4,52
ENSMUSG00000035671	4.6	Zswim4	46,100,79,48,36,0,29,72
ENSMUSG00000074063	4.7	Osgin1	14,100,67,29,0,0,11,63
ENSMUSG00000048544	4.8	5930422O12Rik	68,47,100,45,23,0,3,0
ENSMUSG00000039145	4.8	Camk1d	52,67,100,50,12,0,30,56
ENSMUSG00000021461	4.8	Fancc	88,99,79,100,57,37,0,27
ENSMUSG00000015755	4.8	Map3k7ip2	50,100,91,62,20,0,48,60
ENSMUSG00000030113	4.9	AC153582.1	40,100,82,60,10,0,29,67
ENSMUSG00000005125	4.9	Ndrg1	28,100,69,34,17,0,9,10
ENSMUSG00000018565	4.9	Rai12	59,100,92,74,13,28,0,73
ENSMUSG00000027048	5.0	Abcb11	53,100,77,81,21,0,41,64
ENSMUSG00000039765	5.0	Cc2d2a	36,100,80,35,36,0,10,33
ENSMUSG00000030470	5.0	Csrp3	49,59,100,28,18,0,3,38
ENSMUSG00000022965	5.0	Ifngr2	53,73,100,46,23,7,0,44
ENSMUSG00000025218	5.0	Poll	44,100,94,57,3,31,0,64
ENSMUSG00000021280	5.1	1200009I06Rik	30,100,78,67,0,6,31,71
ENSMUSG00000084923	5.1	AC107763.2	46,78,100,44,15,0,6,27
ENSMUSG00000020037	5.1	Rfx4	35,73,100,36,5,0,13,32
ENSMUSG00000029778	5.2	Adcyap1r1	43,80,100,47,10,30,0,18
ENSMUSG00000071654	5.2	AI462493	72,93,100,72,47,40,0,69
ENSMUSG00000019989	5.2	Enpp3	60,90,100,83,28,0,57,68
ENSMUSG00000071633	5.2	Gm4952	60,91,100,65,22,0,13,35
ENSMUSG00000053113	5.2	Socs3	83,85,100,90,35,54,0,19
ENSMUSG00000064284	5.3	2210021J22Rik	57,77,100,65,24,36,0,73
ENSMUSG00000082141	5.3	AL683828.1	37,83,100,25,35,0,34,29
ENSMUSG00000084797	5.3	AL935060.1	23,100,98,38,5,0,0,41
ENSMUSG00000021179	5.3	BC002230	21,100,54,62,9,1,0,55
ENSMUSG00000026563	5.3	Tada1l	42,71,100,53,28,0,42,65
ENSMUSG00000071430	5.4	AC125041.1	49,100,75,97,7,0,29,55
ENSMUSG00000057098	5.4	Ebf1	28,94,100,27,33,0,9,6
ENSMUSG00000047394	5.4	Odf3b	53,64,100,50,23,0,22,14
ENSMUSG00000086071	5.5	BX255916.1	7,98,100,44,0,2,20,64
ENSMUSG00000038092	5.5	Hsd3b5	48,100,67,73,57,0,23,71
ENSMUSG00000052837	5.5	Junb	49,100,76,88,9,30,0,22
ENSMUSG00000026304	5.5	Rab17	57,46,100,67,14,0,33,40
ENSMUSG00000040498	5.6	2210010C17Rik	50,64,100,35,41,28,0,37
ENSMUSG00000082790	5.6	AL607030.2	41,96,100,32,51,18,0,32
ENSMUSG00000040282	5.6	BC052040	52,100,94,66,43,10,0,32
ENSMUSG00000038135	5.6	Crygn	36,100,68,84,4,13,8,0
ENSMUSG00000044734	5.6	Serpinb1a	43,60,100,44,29,0,16,32
ENSMUSG00000038224	5.6	Serpinf2	43,98,100,70,22,0,14,38
ENSMUSG00000071655	5.6	Ubxn1	44,75,100,57,14,0,10,37
ENSMUSG00000051390	5.6	Zbtb22	44,88,100,67,39,0,42,60
ENSMUSG00000027341	5.7	5730494N06Rik	61,71,100,99,0,11,5,10
ENSMUSG00000085189	5.7	AL662876.1	56,67,100,70,10,29,0,14
ENSMUSG00000027230	5.7	Creb3l1	42,100,65,76,29,0,7,30
ENSMUSG00000019433	5.7	Gipc1	59,85,100,84,29,31,0,70
ENSMUSG00000026950	5.7	Neb	48,100,70,77,36,22,0,25
ENSMUSG00000024036	5.7	Slc37a1	0,100,74,32,0,5,0,7
ENSMUSG00000060961	5.7	Slc4a4	48,93,100,64,41,0,15,30
ENSMUSG00000028152	5.7	Tspan5	34,47,100,39,7,11,0,45
ENSMUSG00000043924	5.8	A330049M08Rik	16,85,100,44,6,8,0,53
ENSMUSG00000046334	5.8	AC158928.2	55,40,100,71,0,9,12,44
ENSMUSG00000043639	5.8	Rbm20	47,97,100,85,23,9,0,59
ENSMUSG00000066441	5.8	Rdh11	67,95,88,100,61,0,47,85
ENSMUSG00000030842	5.9	2400001E08Rik	29,100,91,66,46,0,36,76
ENSMUSG00000015890	5.9	Amdhd1	50,87,98,100,21,0,2,63
ENSMUSG00000040592	5.9	Cd79b	31,91,100,57,22,19,0,60
ENSMUSG00000026785	5.9	Pkn3	59,92,100,66,80,0,44,49
ENSMUSG00000083692	6.0	AC138306.1	7,100,92,41,34,0,6,63
ENSMUSG00000026272	6.0	Agxt	45,100,86,78,40,12,0,15
ENSMUSG00000087381	6.0	AL627204.1	12,94,100,51,0,3,0,0
ENSMUSG00000028980	6.0	H6pd	31,95,100,63,28,0,27,37
ENSMUSG00000030739	6.0	Myh14	48,63,71,100,6,0,11,33
ENSMUSG00000017009	6.0	Sdc4	42,100,90,76,42,0,23,42
ENSMUSG00000063531	6.0	Sema3e	38,54,100,41,38,0,5,62
ENSMUSG00000020381	6.1	3010026O09Rik	13,53,100,35,0,1,10,19
ENSMUSG00000020620	6.1	Abca8b	58,100,91,90,57,0,30,39
ENSMUSG00000075244	6.1	AC125190.1	64,79,77,100,41,14,0,50
ENSMUSG00000068267	6.1	Cenpb	44,83,100,85,30,0,39,56
ENSMUSG00000022790	6.1	Igsf11	38,81,100,72,24,0,38,30
ENSMUSG00000026239	6.1	Pde6d	37,79,100,76,34,0,13,88
ENSMUSG00000073471	6.1	Rsph3a	59,100,87,64,80,38,0,16
ENSMUSG00000045827	6.1	Serpinb9	42,96,100,81,31,0,3,49
ENSMUSG00000050931	6.1	Sgms2	42,78,100,90,23,0,41,43
ENSMUSG00000020034	6.1	Tcp11l2	22,100,85,72,34,0,32,69
ENSMUSG00000040557	6.1	Wbscr27	18,100,79,68,21,0,1,57
ENSMUSG00000054519	6.1	Zfp867	32,100,75,93,28,0,27,61
ENSMUSG00000020898	6.2	1500010J02Rik	50,100,93,90,54,0,8,15
ENSMUSG00000026303	6.2	Mlph	21,77,100,42,14,31,0,17
ENSMUSG00000032561	6.3	Acpp	30,82,78,100,9,0,10,52
ENSMUSG00000082361	6.3	Btc	7,87,100,56,7,0,0,35
ENSMUSG00000031352	6.3	Hccs	32,79,100,72,24,0,7,53
ENSMUSG00000020019	6.3	Ntn4	45,70,70,100,9,23,0,38
ENSMUSG00000024975	6.3	Pdcd4	15,100,81,56,31,0,2,19
ENSMUSG00000022885	6.3	St6gal1	15,100,86,57,36,0,5,26
ENSMUSG00000045031	6.4	Cetn4	7,100,88,61,21,0,4,6
ENSMUSG00000001036	6.4	Epn2	52,76,100,66,48,39,28,0
ENSMUSG00000040387	6.4	Klhl32	24,62,100,37,29,16,1,0
ENSMUSG00000049353	6.4	Rd3	24,55,100,41,22,9,0,29
ENSMUSG00000041845	6.4	Rhod	34,55,100,67,18,23,0,68
ENSMUSG00000086389	6.5	AC171273.2	7,100,96,81,9,0,16,44
ENSMUSG00000024155	6.6	4930528F23Rik	30,81,100,77,35,0,3,37
ENSMUSG00000031765	6.6	Mt1	3,82,100,52,10,10,0,0
ENSMUSG00000006403	6.7	Adamts4	14,75,100,54,23,11,0,21
ENSMUSG00000021820	6.7	Camk2g	23,90,100,88,41,0,17,58
ENSMUSG00000055493	6.7	Epm2a	8,67,100,76,2,0,22,28
ENSMUSG00000022124	6.7	Fbxl3	27,92,92,100,37,0,44,57
ENSMUSG00000005886	6.7	Ncoa2	20,100,81,100,32,0,30,45
ENSMUSG00000025474	6.7	Tubgcp2	35,67,85,100,27,2,0,60
ENSMUSG00000044471	6.8	AB041803	39,89,100,82,50,35,0,12
ENSMUSG00000039031	6.8	Arhgap18	43,83,100,94,27,59,14,0
ENSMUSG00000020605	6.8	Hs1bp3	21,88,100,52,45,26,0,16
ENSMUSG00000025321	6.9	Itgb8	52,97,100,58,84,56,24,0
ENSMUSG00000034258	6.9	Mfsd7c	31,40,100,55,26,0,15,8
ENSMUSG00000001151	6.9	Pcnt	39,65,100,87,42,0,45,51
ENSMUSG00000016487	6.9	Ppfibp1	9,74,100,73,14,0,33,28
ENSMUSG00000028538	6.9	St3gal3	12,64,100,69,22,0,18,16
ENSMUSG00000033653	6.9	Vps8	17,81,77,100,9,18,18,0
ENSMUSG00000022701	7.0	2610015P09Rik	25,62,100,78,45,0,27,66
ENSMUSG00000070315	7.0	4930581F22Rik	12,49,100,39,39,0,14,29
ENSMUSG00000086024	7.0	AC137950.1	0,53,100,50,10,10,11,19
ENSMUSG00000029094	7.0	Afap1	13,70,100,62,21,25,0,40
ENSMUSG00000026208	7.0	Des	30,67,100,62,66,0,13,48
ENSMUSG00000002409	7.0	Dyrk1b	38,77,96,100,42,0,46,40
ENSMUSG00000063239	7.0	Grm4	34,50,100,83,27,1,13,0
ENSMUSG00000032456	7.0	Nmnat3	25,55,100,65,23,33,0,41
ENSMUSG00000059586	7.0	Nsmce2	66,70,100,93,63,40,0,25
ENSMUSG00000064500	7.0	SNORD95	15,81,100,65,37,15,0,25
ENSMUSG00000033088	7.0	Triobp	75,49,100,96,78,1,0,27
ENSMUSG00000052435	7.1	Cebpe	35,61,100,78,45,0,16,29
ENSMUSG00000052117	7.1	D630039A03Rik	15,99,100,93,52,0,7,18
ENSMUSG00000028630	7.1	Dyrk2	3,58,100,71,14,0,21,29
ENSMUSG00000052942	7.1	Glis3	51,84,71,100,60,40,0,0
ENSMUSG00000056214	7.1	Pard6g	45,45,100,66,54,0,7,19
ENSMUSG00000014164	7.2	AC142258.1	40,48,100,88,19,34,0,16
ENSMUSG00000058216	7.2	BC021614	14,100,76,93,43,22,0,34
ENSMUSG00000025586	7.2	Cpeb1	49,70,55,100,48,23,14,0
ENSMUSG00000031530	7.2	Dusp4	53,70,100,72,75,23,22,0
ENSMUSG00000024524	7.2	Gnal	1,82,90,100,2,14,0,5
ENSMUSG00000033182	7.2	Klhdc6	52,53,81,100,48,0,26,32
ENSMUSG00000027412	7.2	Lpin3	28,74,92,100,36,23,0,61
ENSMUSG00000024011	7.2	Pi16	1,53,100,37,21,19,12,0
ENSMUSG00000031320	7.2	Rps4x	36,95,44,100,68,0,13,9
ENSMUSG00000030587	7.3	2200002D01Rik	33,100,78,94,62,40,0,26
ENSMUSG00000028973	7.3	Abcb8	40,63,70,100,46,0,10,28
ENSMUSG00000021222	7.3	Dcaf4	0,61,100,64,31,3,15,38
ENSMUSG00000031645	7.3	F11	16,83,59,100,38,0,0,16
ENSMUSG00000042680	7.3	Fam59a	25,96,100,95,63,0,35,45
ENSMUSG00000057054	7.3	Inca1	39,49,100,85,34,7,0,34
ENSMUSG00000033863	7.3	Klf9	35,73,95,100,61,0,31,56
ENSMUSG00000062901	7.3	Klhl24	20,79,88,100,37,0,43,45
ENSMUSG00000074170	7.4	Plekhf1	3,84,100,73,52,0,13,38
ENSMUSG00000017417	7.4	Plxdc1	18,59,100,53,60,0,2,6
ENSMUSG00000031271	7.4	Serpina7	29,100,73,81,55,57,17,0
ENSMUSG00000021384	7.4	Susd3	49,57,54,100,48,14,0,5
ENSMUSG00000066440	7.4	Zfyve26	10,49,100,75,20,0,26,28
ENSMUSG00000024273	7.5	2700062C07Rik	0,79,64,100,26,12,0,51
ENSMUSG00000086593	7.5	AC110499.1	16,65,83,100,20,19,0,36
ENSMUSG00000004085	7.5	B230120H23Rik	30,54,66,100,27,17,0,35
ENSMUSG00000023055	7.5	Calcoco1	17,36,100,58,35,0,13,22
ENSMUSG00000022770	7.5	Dlg1	23,81,85,100,57,0,22,43
ENSMUSG00000038570	7.5	Fam154b	39,79,83,100,64,11,13,0
ENSMUSG00000030161	7.5	Gabarapl1	30,36,100,78,38,0,3,13
ENSMUSG00000040289	7.5	Hey1	60,89,66,90,100,42,7,0
ENSMUSG00000021699	7.5	Pde4d	22,39,100,52,42,0,22,5
ENSMUSG00000038331	7.5	Satb2	16,91,100,60,55,56,11,0
ENSMUSG00000021388	7.6	Aspn	24,72,100,69,78,0,30,39
ENSMUSG00000031274	7.6	Col4a5	18,30,100,44,42,6,0,6
ENSMUSG00000032633	7.6	Flcn	8,53,100,93,23,0,27,45
ENSMUSG00000062866	7.6	Phactr2	21,36,73,100,9,0,11,9
ENSMUSG00000039713	7.6	Plekhg5	1,24,100,61,9,3,0,6
ENSMUSG00000026275	7.6	Ppp1r7	23,80,98,100,43,35,0,20
ENSMUSG00000032754	7.6	Slc24a6	0,59,100,76,32,1,24,31
ENSMUSG00000021990	7.6	Spata13	0,66,100,72,33,11,25,18
ENSMUSG00000079259	7.6	Trim71	0,43,100,44,26,22,0,21
ENSMUSG00000042524	7.6	Unc84b	12,48,100,71,37,0,23,33
ENSMUSG00000087579	7.7	AC113514.1	17,67,99,100,45,8,0,3
ENSMUSG00000044864	7.7	Ankrd50	6,80,98,100,40,21,0,40
ENSMUSG00000054469	7.7	Lclat1	16,51,67,100,27,0,18,28
ENSMUSG00000024070	7.7	Prkd3	20,55,97,100,37,0,24,27
ENSMUSG00000068747	7.7	Sort1	22,57,88,100,42,0,20,19
ENSMUSG00000036687	7.7	Tmem184a	0,37,100,71,9,0,14,9
ENSMUSG00000052407	7.8	4930473A06Rik	16,38,100,75,34,0,37,21
ENSMUSG00000021257	7.8	Angel1	27,21,95,100,16,0,0,14
ENSMUSG00000027997	7.8	Casp6	30,28,100,83,38,0,5,16
ENSMUSG00000064267	7.8	Hvcn1	43,66,96,100,63,29,41,0
ENSMUSG00000026707	7.8	Nsun6	13,53,92,100,29,3,0,26
ENSMUSG00000039934	7.8	Pion	30,45,63,100,36,7,0,11
ENSMUSG00000020282	7.8	Rhbdf1	31,89,100,69,84,46,0,43
ENSMUSG00000047675	7.8	Rps8	0,64,100,70,37,25,5,3
ENSMUSG00000029269	7.8	Sult1b1	39,86,83,100,81,27,0,26
